condition,seed,n_nodes,target,channel,lag_s,group,r2,nrmse
memoryless,9,48,Resp t-45s,Resp,45,slow 20-45 s,-0.00357510,1.00178596
memoryless,9,48,Temp t-1s,Temp,1,fast 1-3 s,0.99470187,0.07278827
memoryless,9,48,Temp t-3s,Temp,3,fast 1-3 s,0.99393998,0.07784613
memoryless,9,48,Temp t-8s,Temp,8,mid 8 s,0.98969555,0.10151086
memoryless,9,48,Temp t-20s,Temp,20,slow 20-45 s,0.97417581,0.16069906
memoryless,9,48,Temp t-45s,Temp,45,slow 20-45 s,0.93650113,0.25198981
memoryless,9,48,HR t-1s,HR,1,fast 1-3 s,0.94987052,0.22389614
memoryless,9,48,HR t-3s,HR,3,fast 1-3 s,0.77143770,0.47808190
memoryless,9,48,HR t-8s,HR,8,mid 8 s,0.69373613,0.55341112
memoryless,9,48,HR t-20s,HR,20,slow 20-45 s,0.61258483,0.62242684
memoryless,9,48,HR t-45s,HR,45,slow 20-45 s,0.56670300,0.65825299
homogeneous_fast,0,48,EDA t-1s,EDA,1,fast 1-3 s,0.99938032,0.02489329
homogeneous_fast,0,48,EDA t-3s,EDA,3,fast 1-3 s,0.99878614,0.03484048
homogeneous_fast,0,48,EDA t-8s,EDA,8,mid 8 s,0.99757376,0.04925693
homogeneous_fast,0,48,EDA t-20s,EDA,20,slow 20-45 s,0.99178386,0.09064294
homogeneous_fast,0,48,EDA t-45s,EDA,45,slow 20-45 s,0.97174111,0.16810381
homogeneous_fast,0,48,Resp t-1s,Resp,1,fast 1-3 s,0.46887353,0.72878424
homogeneous_fast,0,48,Resp t-3s,Resp,3,fast 1-3 s,0.16672493,0.91283902
homogeneous_fast,0,48,Resp t-8s,Resp,8,mid 8 s,0.03447513,0.98261125
homogeneous_fast,0,48,Resp t-20s,Resp,20,slow 20-45 s,-0.00001041,1.00000520
homogeneous_fast,0,48,Resp t-45s,Resp,45,slow 20-45 s,-0.00166931,1.00083431
homogeneous_fast,0,48,Temp t-1s,Temp,1,fast 1-3 s,0.99780289,0.04687339
homogeneous_fast,0,48,Temp t-3s,Temp,3,fast 1-3 s,0.99747604,0.05023903
homogeneous_fast,0,48,Temp t-8s,Temp,8,mid 8 s,0.99655241,0.05871619
homogeneous_fast,0,48,Temp t-20s,Temp,20,slow 20-45 s,0.98746949,0.11193974
homogeneous_fast,0,48,Temp t-45s,Temp,45,slow 20-45 s,0.95266460,0.21756700
homogeneous_fast,0,48,HR t-1s,HR,1,fast 1-3 s,0.98864513,0.10655924
homogeneous_fast,0,48,HR t-3s,HR,3,fast 1-3 s,0.96951439,0.17460130
homogeneous_fast,0,48,HR t-8s,HR,8,mid 8 s,0.92004704,0.28275955
homogeneous_fast,0,48,HR t-20s,HR,20,slow 20-45 s,0.82301540,0.42069538
homogeneous_fast,0,48,HR t-45s,HR,45,slow 20-45 s,0.67090800,0.57366540
homogeneous_fast,1,48,EDA t-1s,EDA,1,fast 1-3 s,0.99933538,0.02578029
homogeneous_fast,1,48,EDA t-3s,EDA,3,fast 1-3 s,0.99889763,0.03320193
homogeneous_fast,1,48,EDA t-8s,EDA,8,mid 8 s,0.99827861,0.04148967
homogeneous_fast,1,48,EDA t-20s,EDA,20,slow 20-45 s,0.99250867,0.08655247
homogeneous_fast,1,48,EDA t-45s,EDA,45,slow 20-45 s,0.97269653,0.16523761
homogeneous_fast,1,48,Resp t-1s,Resp,1,fast 1-3 s,0.40886446,0.76885339
homogeneous_fast,1,48,Resp t-3s,Resp,3,fast 1-3 s,0.16475028,0.91391997
homogeneous_fast,1,48,Resp t-8s,Resp,8,mid 8 s,0.03705283,0.98129872
homogeneous_fast,1,48,Resp t-20s,Resp,20,slow 20-45 s,0.00098814,0.99950581
homogeneous_fast,1,48,Resp t-45s,Resp,45,slow 20-45 s,-0.00058531,1.00029261
homogeneous_fast,1,48,Temp t-1s,Temp,1,fast 1-3 s,0.99792480,0.04555439
homogeneous_fast,1,48,Temp t-3s,Temp,3,fast 1-3 s,0.99761700,0.04881594
homogeneous_fast,1,48,Temp t-8s,Temp,8,mid 8 s,0.99694131,0.05530541
homogeneous_fast,1,48,Temp t-20s,Temp,20,slow 20-45 s,0.98943468,0.10278773
homogeneous_fast,1,48,Temp t-45s,Temp,45,slow 20-45 s,0.95502164,0.21208103
homogeneous_fast,1,48,HR t-1s,HR,1,fast 1-3 s,0.98772709,0.11078315
homogeneous_fast,1,48,HR t-3s,HR,3,fast 1-3 s,0.97137486,0.16918965
homogeneous_fast,1,48,HR t-8s,HR,8,mid 8 s,0.91786512,0.28659184
homogeneous_fast,1,48,HR t-20s,HR,20,slow 20-45 s,0.77912287,0.46997567
homogeneous_fast,1,48,HR t-45s,HR,45,slow 20-45 s,0.65810401,0.58471873
homogeneous_fast,2,48,EDA t-1s,EDA,1,fast 1-3 s,0.99924726,0.02743609
homogeneous_fast,2,48,EDA t-3s,EDA,3,fast 1-3 s,0.99878583,0.03484497
homogeneous_fast,2,48,EDA t-8s,EDA,8,mid 8 s,0.99821976,0.04219291
homogeneous_fast,2,48,EDA t-20s,EDA,20,slow 20-45 s,0.99247859,0.08672607
homogeneous_fast,2,48,EDA t-45s,EDA,45,slow 20-45 s,0.97228257,0.16648554
homogeneous_fast,2,48,Resp t-1s,Resp,1,fast 1-3 s,0.37094189,0.79313184
homogeneous_fast,2,48,Resp t-3s,Resp,3,fast 1-3 s,0.15808639,0.91755850
homogeneous_fast,2,48,Resp t-8s,Resp,8,mid 8 s,0.02127124,0.98930721
homogeneous_fast,2,48,Resp t-20s,Resp,20,slow 20-45 s,0.00016168,0.99991915
homogeneous_fast,2,48,Resp t-45s,Resp,45,slow 20-45 s,-0.00171728,1.00085827
homogeneous_fast,2,48,Temp t-1s,Temp,1,fast 1-3 s,0.99794446,0.04533808
homogeneous_fast,2,48,Temp t-3s,Temp,3,fast 1-3 s,0.99768000,0.04816643
homogeneous_fast,2,48,Temp t-8s,Temp,8,mid 8 s,0.99662276,0.05811399
homogeneous_fast,2,48,Temp t-20s,Temp,20,slow 20-45 s,0.98907979,0.10449979
homogeneous_fast,2,48,Temp t-45s,Temp,45,slow 20-45 s,0.95500532,0.21211950
homogeneous_fast,2,48,HR t-1s,HR,1,fast 1-3 s,0.98805377,0.10929880
homogeneous_fast,2,48,HR t-3s,HR,3,fast 1-3 s,0.96040668,0.19898070
homogeneous_fast,2,48,HR t-8s,HR,8,mid 8 s,0.89286424,0.32731600
homogeneous_fast,2,48,HR t-20s,HR,20,slow 20-45 s,0.76544598,0.48430778
homogeneous_fast,2,48,HR t-45s,HR,45,slow 20-45 s,0.65342298,0.58870792
homogeneous_fast,3,48,EDA t-1s,EDA,1,fast 1-3 s,0.99932964,0.02589124
homogeneous_fast,3,48,EDA t-3s,EDA,3,fast 1-3 s,0.99890261,0.03312684
homogeneous_fast,3,48,EDA t-8s,EDA,8,mid 8 s,0.99821648,0.04223169
homogeneous_fast,3,48,EDA t-20s,EDA,20,slow 20-45 s,0.99256561,0.08622293
homogeneous_fast,3,48,EDA t-45s,EDA,45,slow 20-45 s,0.97253889,0.16571395
homogeneous_fast,3,48,Resp t-1s,Resp,1,fast 1-3 s,0.40523767,0.77120836
homogeneous_fast,3,48,Resp t-3s,Resp,3,fast 1-3 s,0.17637554,0.90753758
homogeneous_fast,3,48,Resp t-8s,Resp,8,mid 8 s,0.03834508,0.98064006
homogeneous_fast,3,48,Resp t-20s,Resp,20,slow 20-45 s,0.00039481,0.99980258
homogeneous_fast,3,48,Resp t-45s,Resp,45,slow 20-45 s,-0.00111319,1.00055644
homogeneous_fast,3,48,Temp t-1s,Temp,1,fast 1-3 s,0.99788087,0.04603403
homogeneous_fast,3,48,Temp t-3s,Temp,3,fast 1-3 s,0.99746167,0.05038181
homogeneous_fast,3,48,Temp t-8s,Temp,8,mid 8 s,0.99683175,0.05628719
homogeneous_fast,3,48,Temp t-20s,Temp,20,slow 20-45 s,0.98874942,0.10606877
homogeneous_fast,3,48,Temp t-45s,Temp,45,slow 20-45 s,0.95457958,0.21312068
homogeneous_fast,3,48,HR t-1s,HR,1,fast 1-3 s,0.98864666,0.10655204
homogeneous_fast,3,48,HR t-3s,HR,3,fast 1-3 s,0.96765115,0.17985786
homogeneous_fast,3,48,HR t-8s,HR,8,mid 8 s,0.91277263,0.29534281
homogeneous_fast,3,48,HR t-20s,HR,20,slow 20-45 s,0.77940607,0.46967428
homogeneous_fast,3,48,HR t-45s,HR,45,slow 20-45 s,0.65997426,0.58311726
homogeneous_fast,4,48,EDA t-1s,EDA,1,fast 1-3 s,0.99940436,0.02440569
homogeneous_fast,4,48,EDA t-3s,EDA,3,fast 1-3 s,0.99893668,0.03260857
